villageCode,villageName,parishCode
006-028-01-01-01,KASAMBYA I,006-028-01-01
006-028-01-01-02,KATEREIGA I,006-028-01-01
006-028-01-01-03,KATEREIGA II,006-028-01-01
006-028-01-01-04,KASAMBYA II,006-028-01-01
006-028-01-01-05,KISUGA,006-028-01-01
006-028-01-01-06,KIKABURA,006-028-01-01
006-028-01-02-01,KYOMUJUNGU,006-028-01-02
006-028-01-02-06,KIGONA,006-028-01-02
006-028-01-02-07,KIHENDA,006-028-01-02
006-028-01-02-10,KIKEREGE,006-028-01-02
006-028-01-02-11,KYAMUGENZI,006-028-01-02
006-028-01-03-02,KIFURANSA,006-028-01-03
006-028-01-03-04,KIFUMURA I,006-028-01-03
006-028-01-03-05,KIKONKO,006-028-01-03
006-028-01-03-08,KIHUURA I,006-028-01-03
006-028-01-03-09,KIHUURA II,006-028-01-03
006-028-01-04-01,KYAMIRANSIMBI,006-028-01-04
006-028-01-04-02,KYAMUZIZI,006-028-01-04
006-028-01-04-03,KIDUKURU,006-028-01-04
006-028-01-04-06,KITOONYA I,006-028-01-04
006-028-01-04-07,KITOONYA II,006-028-01-04
006-028-01-08-01,ISOKOMA,006-028-01-08
006-028-01-08-02,KABURAMURRO,006-028-01-08
006-028-01-08-03,KYAKARAIGA,006-028-01-08
006-028-01-08-04,MUHANGAIZIMA,006-028-01-08
006-028-01-08-08,KITOROGYA,006-028-01-08
006-028-01-09-01,GALIBOLEKA,006-028-01-09
006-028-01-09-02,KATASENYWA,006-028-01-09
006-028-01-09-04,KIFUMURA II,006-028-01-09
006-028-01-09-09,KYOHAIRWE,006-028-01-09
006-028-01-09-10,WAGESA,006-028-01-09
006-028-02-06-01,KIKYORA,006-028-02-06
006-028-02-06-02,BISENYI,006-028-02-06
006-028-02-06-04,BUSERUKA T/C,006-028-02-06
006-028-02-06-05,KARANWANGO,006-028-02-06
006-028-02-06-06,KASENYI,006-028-02-06
006-028-02-06-08,LYATO,006-028-02-06
006-028-02-06-09,NYABIHUKURU,006-028-02-06
006-028-02-06-10,NYAKABINGO,006-028-02-06
006-028-02-07-03,KABANDA,006-028-02-07
006-028-02-07-05,KIJANGI A,006-028-02-07
006-028-02-07-06,KIJANGI B,006-028-02-07
006-028-02-07-08,TOONYA A,006-028-02-07
006-028-02-07-09,TOONYA B,006-028-02-07
006-028-02-16-01,BIGANDO,006-028-02-16
006-028-02-16-02,KAKODA,006-028-02-16
006-028-02-16-07,KYAKABOOGA A,006-028-02-16
006-028-02-16-08,KYAKABOOGA B,006-028-02-16
006-028-02-16-11,RWAMUTONGA A,006-028-02-16
006-028-02-16-12,RWAMUTONGA B,006-028-02-16
006-028-02-17-01,FOFO,006-028-02-17
006-028-02-17-02,HOIMO,006-028-02-17
006-028-02-17-05,RWENTALE,006-028-02-17
006-028-02-17-06,KIRYAMBOGA,006-028-02-17
006-028-03-18-06,KIHORO,006-028-03-18
006-028-03-18-07,KISEETA,006-028-03-18
006-028-03-18-10,KYAMPAKA,006-028-03-18
006-028-03-18-11,NYAITUMA,006-028-03-18
006-028-03-18-13,MPARANGASI,006-028-03-18
006-028-03-19-01,KAKINDO,006-028-03-19
006-028-03-19-08,KYAKAMESE,006-028-03-19
006-028-03-19-09,KYAMONGI,006-028-03-19
006-028-03-19-12,NYAKAKONGE,006-028-03-19
006-028-03-20-02,KATIKARA,006-028-03-20
006-028-03-20-03,KIBAIRE,006-028-03-20
006-028-03-20-04,KIGUNGU,006-028-03-20
006-028-03-20-05,KIHAMBYA,006-028-03-20
006-028-07-23-01,BIRUNGU EAST,006-028-07-23
006-028-07-23-02,BUHAMBA,006-028-07-23
006-028-07-23-03,BUNIINA,006-028-07-23
006-028-07-23-04,KISWERO,006-028-07-23
006-028-07-23-05,KITEMBEKA,006-028-07-23
006-028-07-23-06,KITESUKURA,006-028-07-23
006-028-07-23-07,MBIIWE,006-028-07-23
006-028-07-23-08,MPUNDA,006-028-07-23
006-028-07-23-09,BIRUNGU WEST,006-028-07-23
006-028-07-23-10,KATUGO,006-028-07-23
006-028-07-23-11,KISEKE,006-028-07-23
006-028-07-23-12,KABURUNGI,006-028-07-23
006-028-07-23-13,KYANGUHIRA,006-028-07-23
006-028-07-23-14,NTOTOMA,006-028-07-23
006-028-07-23-15,NYAWAMPAMBA,006-028-07-23
006-028-07-24-01,KABOIJANA WEST,006-028-07-24
006-028-07-24-02,BULYANGO,006-028-07-24
006-028-07-24-03,KABOIJANA EAST,006-028-07-24
006-028-07-24-04,KIKOONOKA,006-028-07-24
006-028-07-24-05,KIRAIRA EAST,006-028-07-24
006-028-07-24-06,KYAKATABA,006-028-07-24
006-028-07-24-07,MBARARA EAST,006-028-07-24
006-028-07-24-08,NYAKABAALE,006-028-07-24
006-028-07-24-09,KIRAIRA WEST,006-028-07-24
006-028-07-24-10,MBARARA WEST,006-028-07-24
006-028-07-24-11,NYAKATOOKE,006-028-07-24
006-028-07-25-01,BIRONGO,006-028-07-25
006-028-07-25-02,KIBOIRYA,006-028-07-25
006-028-07-25-03,BUKERENGE,006-028-07-25
006-028-07-25-04,KATAHIKWA,006-028-07-25
006-028-07-25-05,KIBANJWA,006-028-07-25
006-028-07-25-06,KIPAPATI,006-028-07-25
006-028-07-25-07,KYARUSURA,006-028-07-25
006-028-07-25-08,KIKEREGE,006-028-07-25
006-028-07-25-09,KIMBYANA,006-028-07-25
006-028-07-25-10,KINENAMABAALE,006-028-07-25
006-028-07-25-11,KYAMUKUNJUKI,006-028-07-25
006-028-07-26-01,BWENDERO B,006-028-07-26
006-028-07-26-02,BWENDERO A,006-028-07-26
006-028-07-26-03,DWOLI EAST,006-028-07-26
006-028-07-26-04,DWOLI WEST,006-028-07-26
006-028-07-26-05,KIIZI,006-028-07-26
006-028-07-26-06,DWOLI KINYARA,006-028-07-26
006-028-07-26-07,KYAMBALIMBWIRE,006-028-07-26
006-028-07-26-08,WAGAISA,006-028-07-26
006-028-07-27-01,KIBURWA EAST,006-028-07-27
006-028-07-27-02,KIRYANGOBE,006-028-07-27
006-028-07-27-03,KITOBA,006-028-07-27
006-028-07-27-04,KYABASENGYA EAST,006-028-07-27
006-028-07-27-05,NYAKAFUNJO,006-028-07-27
006-028-07-27-06,KIBURWA WEST,006-028-07-27
006-028-07-27-07,KYABASENGYA WEST,006-028-07-27
006-028-07-27-08,BUKWARA,006-028-07-27
006-028-07-34-01,BUTEMBE B,006-028-07-34
006-028-07-34-02,IGAGAARA,006-028-07-34
006-028-07-34-03,BUTEMBE A,006-028-07-34
006-028-07-34-04,ISEISA A,006-028-07-34
006-028-07-34-05,KYAKAKOIZI,006-028-07-34
006-028-07-34-06,ISEISA B,006-028-07-34
006-028-07-34-07,KANYANYAMA,006-028-07-34
006-028-07-34-08,KIBUGAIRU,006-028-07-34
006-028-07-34-09,RWAMULINDA,006-028-07-34
006-028-08-30-01,BUGOMORO,006-028-08-30
006-028-08-30-02,BWIZIBWERA,006-028-08-30
006-028-08-30-03,KARUNGU,006-028-08-30
006-028-08-30-04,KASOMORO,006-028-08-30
006-028-08-30-05,KATUUGO,006-028-08-30
006-028-08-30-06,KIBEGENYA,006-028-08-30
006-028-08-30-07,KIHWERA,006-028-08-30
006-028-08-30-08,KIRYABUTUZI,006-028-08-30
006-028-08-30-09,KIRYANKIMBA,006-028-08-30
006-028-08-30-10,KITONGOLE,006-028-08-30
006-028-08-30-11,KYABIGAMBIRE CENTRAL,006-028-08-30
006-028-08-30-12,KYARUBANGA,006-028-08-30
006-028-08-30-13,MPARANGASI,006-028-08-30
006-028-08-30-14,NYAKABAALE,006-028-08-30
006-028-08-31-01,BINENEZA,006-028-08-31
006-028-08-31-02,BUGANDALE,006-028-08-31
006-028-08-31-03,BUSUUGA,006-028-08-31
006-028-08-31-04,KABALIKERA,006-028-08-31
006-028-08-31-05,KALYANGO,006-028-08-31
006-028-08-31-06,KANYAMUNYA,006-028-08-31
006-028-08-31-07,KASOKERO,006-028-08-31
006-028-08-31-08,KASUNGA,006-028-08-31
006-028-08-31-09,KATIKARA,006-028-08-31
006-028-08-31-10,KIGAWA,006-028-08-31
006-028-08-31-11,KYAKASEETA,006-028-08-31
006-028-08-31-12,NYAKABINGO EAST,006-028-08-31
006-028-08-31-13,RUHUNGA,006-028-08-31
006-028-08-31-14,NYAKABINGO WEST,006-028-08-31
006-028-09-05-03,KABAALE T.C A,006-028-09-05
006-028-09-05-11,KITEGWA A,006-028-09-05
006-028-09-05-17,RUGONJO,006-028-09-05
006-028-09-05-18,KITEGWA B,006-028-09-05
006-028-09-13-05,KATAABA A,006-028-09-13
006-028-09-13-06,KATAABA B,006-028-09-13
006-028-09-13-13,NYAHAIRA,006-028-09-13
006-028-09-13-14,NYAKASININA,006-028-09-13
006-028-09-13-16,NZOROBI,006-028-09-13
006-028-09-13-19,NGEMWA,006-028-09-13
006-028-09-13-20,NKWAKI,006-028-09-13
006-028-09-14-06,KATOOKE,006-028-09-14
006-028-09-14-07,KAYERA,006-028-09-14
006-028-09-14-08,KIGAAGA A,006-028-09-14
006-028-09-14-09,KIGAAGA B,006-028-09-14
006-028-09-14-10,KIJUMBA,006-028-09-14
006-028-09-14-15,NYAMASOGA,006-028-09-14
006-028-09-15-04,KAISO I,006-028-09-15
006-028-09-15-05,KAISO II,006-028-09-15
006-028-09-15-07,MBEGU A,006-028-09-15
006-028-09-15-08,MBEGU B,006-028-09-15
006-028-10-10-01,KIGUNDA,006-028-10-10
006-028-10-10-02,BUSANGA,006-028-10-10
006-028-10-10-03,KIRYANKOMEKE,006-028-10-10
006-028-10-10-08,KIBINGO,006-028-10-10
006-028-10-10-15,KITEMA,006-028-10-10
006-028-10-11-01,KATETE,006-028-10-11
006-028-10-11-02,KIKOWA,006-028-10-11
006-028-10-11-03,KYAHUMA,006-028-10-11
006-028-10-11-04,KISABYA,006-028-10-11
006-028-10-11-06,KASININA,006-028-10-11
006-028-10-11-11,KIRAANGA,006-028-10-11
006-028-10-11-16,KYABANATI,006-028-10-11
006-028-10-11-17,NYAKAIHURA,006-028-10-11
006-028-10-12-01,BIGANDO,006-028-10-12
006-028-10-12-02,KINOGA,006-028-10-12
006-028-10-12-03,BUYANJA,006-028-10-12
006-028-10-12-04,KIRINDASOJO,006-028-10-12
006-028-10-12-09,KIHOHORO,006-028-10-12
006-028-10-12-10,KIKARA,006-028-10-12
006-028-10-12-18,RWOBUNYONYI,006-028-10-12
006-028-10-29-01,KIHESI,006-028-10-29
006-028-10-29-02,KITASOMYA,006-028-10-29
006-028-10-29-03,NGOBYE,006-028-10-29
006-028-10-29-04,GOROOBA,006-028-10-29
006-028-10-29-05,KAKIRA,006-028-10-29
006-028-10-29-07,KIBAALI,006-028-10-29
006-028-10-29-12,KIRIMYA,006-028-10-29
006-028-10-29-13,KISAGARA,006-028-10-29
006-028-10-29-14,KISIITA,006-028-10-29
006-264-01-01-01,BUKWAMBO,006-264-01-01
006-264-01-01-02,BULEMBU,006-264-01-01
006-264-01-01-03,TUHUMULE,006-264-01-01
006-264-01-01-06,KIRYAWANGA,006-264-01-01
006-264-01-01-07,KYAMUKWENDA I,006-264-01-01
006-264-01-01-08,KYAMUKWENDA II,006-264-01-01
006-264-01-02-01,BURAZA,006-264-01-02
006-264-01-02-02,NYANTAMA,006-264-01-02
006-264-01-02-03,PIIDA,006-264-01-02
006-264-01-02-04,KIBENGEYA,006-264-01-02
006-264-01-02-08,SIIBA,006-264-01-02
006-264-01-15-01,KIRYATETE,006-264-01-15
006-264-01-15-02,KAPAAPI I,006-264-01-15
006-264-01-15-03,KAPAAPI II EAST,006-264-01-15
006-264-01-15-04,KAPAAPI II WEST,006-264-01-15
006-264-01-15-05,KIBUYE,006-264-01-15
006-264-01-15-09,WAAKI NORTH,006-264-01-15
006-264-01-15-10,WAAKI SOUTH,006-264-01-15
006-264-02-03-01,ALIWARA,006-264-02-03
006-264-02-03-02,IJAKARA,006-264-02-03
006-264-02-03-04,NYABITOOTI,006-264-02-03
006-264-02-03-05,KATUGO,006-264-02-03
006-264-02-03-07,MARONGO,006-264-02-03
006-264-02-04-01,BUHIRIGI,006-264-02-04
006-264-02-04-02,HOIMO,006-264-02-04
006-264-02-04-03,RUJUBA,006-264-02-04
006-264-02-04-04,WAYAYO,006-264-02-04
006-264-02-04-10,LENJU,006-264-02-04
006-264-02-05-03,HANGA,006-264-02-05
006-264-02-05-04,KIBATI,006-264-02-05
006-264-02-05-05,ISIRIZA,006-264-02-05
006-264-02-05-06,NYAKASANDARA,006-264-02-05
006-264-02-05-08,NYAMUNDEIJA I,006-264-02-05
006-264-02-05-09,NYAMUNDEIJA II,006-264-02-05
006-264-02-06-01,BOMBO,006-264-02-06
006-264-02-06-04,KANYIRA EAST,006-264-02-06
006-264-02-06-05,KANYIRA WEST,006-264-02-06
006-264-02-06-09,BUGOMA,006-264-02-06
006-264-02-14-01,KAHYORO,006-264-02-14
006-264-02-14-02,BWIKYA,006-264-02-14
006-264-02-14-03,MABIRA,006-264-02-14
006-264-02-14-06,KITUNGA,006-264-02-14
006-264-03-08-01,BUKONA,006-264-03-08
006-264-03-08-02,KYAKAYAYA,006-264-03-08
006-264-03-08-03,KABANGO,006-264-03-08
006-264-03-08-07,KYAKASATO,006-264-03-08
006-264-03-09-01,KABUKULI,006-264-03-09
006-264-03-09-02,HAIBAALE I,006-264-03-09
006-264-03-09-03,HAIBAALE II,006-264-03-09
006-264-03-09-04,KASEGA I,006-264-03-09
006-264-03-10-01,KALANGARA,006-264-03-10
006-264-03-10-03,NGURU,006-264-03-10
006-264-03-10-04,KABATINDULE,006-264-03-10
006-264-03-10-05,RUVINGA,006-264-03-10
006-264-03-11-01,KACURU,006-264-03-11
006-264-03-11-02,KYEBAGIRA,006-264-03-11
006-264-03-11-03,NYAKIMESE,006-264-03-11
006-264-03-11-06,RUVINGA II,006-264-03-11
006-264-03-11-09,NDARAGI,006-264-03-11
006-264-03-18-05,KISAKA,006-264-03-18
006-264-03-18-06,KISUKUMA,006-264-03-18
006-264-03-18-07,KYARUKUUBE,006-264-03-18
006-264-03-18-08,KYAMABARA,006-264-03-18
006-264-04-12-01,KABURAMUURO,006-264-04-12
006-264-04-12-02,KIKUMBA,006-264-04-12
006-264-04-12-03,KIRYANDONGO,006-264-04-12
006-264-04-12-04,KITEKURA,006-264-04-12
006-264-04-13-01,KIBIITO,006-264-04-13
006-264-04-13-02,KIGWAARA,006-264-04-13
006-264-04-13-05,KYERAMYA,006-264-04-13
006-264-04-13-06,KIKAMBAGYO,006-264-04-13
006-264-04-16-01,KIGANJA,006-264-04-16
006-264-04-16-02,KABABWA,006-264-04-16
006-264-04-16-03,KIBANDA,006-264-04-16
006-264-04-16-04,KIHUNGURA,006-264-04-16
006-264-04-32-01,BIKUNYU,006-264-04-32
006-264-04-32-02,KIBIRO,006-264-04-32
006-264-04-32-03,RUNGA,006-264-04-32
006-264-04-32-04,SONGAGAAGI,006-264-04-32
006-264-04-32-05,WAAKI,006-264-04-32
006-264-04-32-06,KYABARANGWA,006-264-04-32
006-264-05-24-01,HANGA,006-264-05-24
006-264-05-24-02,ENTEBBE,006-264-05-24
006-264-05-24-04,KYAKAHOROGO,006-264-05-24
006-264-05-24-05,PELE,006-264-05-24
006-264-05-24-09,PALIYANGOMBE,006-264-05-24
006-264-05-33-01,KASENYI,006-264-05-33
006-264-05-33-02,KAJUURA,006-264-05-33
006-264-05-33-03,KYEIGADI,006-264-05-33
006-264-05-33-04,KINSANZA,006-264-05-33
006-264-05-33-05,KYABISAGAZI II,006-264-05-33
006-264-06-19-01,KIKUMBA,006-264-06-19
006-264-06-19-02,KYAKAZOOBA,006-264-06-19
006-264-06-20-03,KIHEESI,006-264-06-20
006-264-06-20-04,KIRYANDONGO,006-264-06-20
006-264-06-21-01,KIGOROBYA II,006-264-06-21
006-264-06-21-02,KIGOROBYA I,006-264-06-21
006-264-06-22-01,KIKONKONA,006-264-06-22
006-264-06-22-02,KIKWANANA,006-264-06-22
006-264-07-07-01,BALISANGA,006-264-07-07
006-264-07-07-02,KAMUGEMBE II,006-264-07-07
006-264-07-07-03,KARUNGU,006-264-07-07
006-264-07-07-04,KYABISAGAZI I,006-264-07-07
006-264-07-07-05,MALINGA,006-264-07-07
006-264-07-17-01,KAMUGEMBE I,006-264-07-17
006-264-07-17-02,KIMERI,006-264-07-17
006-264-07-17-04,KAINA,006-264-07-17
006-264-07-17-05,KIJONGO,006-264-07-17
006-264-07-23-01,KATUUGO,006-264-07-23
006-264-07-23-02,KYATARUGA,006-264-07-23
006-264-07-23-03,MWENDANTE,006-264-07-23
006-264-07-23-04,KYAMUCUMBA,006-264-07-23
006-264-07-23-05,NYANGINI,006-264-07-23
113-082-01-01-01,KASOGA EAST,113-082-01-01
113-082-01-01-02,KASOGA WEST,113-082-01-01
113-082-01-01-04,RWENGABI,113-082-01-01
113-082-01-01-10,KIGOMA,113-082-01-01
113-082-01-01-13,KIMAANYA A,113-082-01-01
113-082-01-01-14,KIMAANYA B,113-082-01-01
113-082-01-01-15,KIMAANYA C,113-082-01-01
113-082-01-01-19,KIMANYA CENTRAL,113-082-01-01
113-082-01-02-01,KASINGO,113-082-01-02
113-082-01-02-02,BUTALE,113-082-01-02
113-082-01-02-03,BWARANDA A,113-082-01-02
113-082-01-02-04,MUKONI,113-082-01-02
113-082-01-02-05,KAHUMUZA,113-082-01-02
113-082-01-02-06,KYAMASEGA A,113-082-01-02
113-082-01-02-07,KYAMASEGA B,113-082-01-02
113-082-01-02-08,NYAKABALE,113-082-01-02
113-082-01-02-18,RWEMBUBA,113-082-01-02
113-082-01-03-01,KAROKARUNGI A,113-082-01-03
113-082-01-03-02,KAROKARUNGI B,113-082-01-03
113-082-01-03-03,KYABITENGO,113-082-01-03
113-082-01-03-04,BWARANDA B,113-082-01-03
113-082-01-03-05,KIJUNGU,113-082-01-03
113-082-01-03-06,NYANSIMBI,113-082-01-03
113-082-01-03-11,KIGOMA ROCKS,113-082-01-03
113-082-01-03-16,NYABUTANZI,113-082-01-03
113-082-01-03-17,NYANSAMBYA,113-082-01-03
113-082-01-21-01,BUGWARA,113-082-01-21
113-082-01-21-03,KIHUURA CENTRAL,113-082-01-21
113-082-01-21-06,KAMURANDU,113-082-01-21
113-082-01-21-09,KIBOMBO,113-082-01-21
113-082-01-21-15,MULINDA,113-082-01-21
113-082-01-21-20,KIHUURA T/C,113-082-01-21
113-082-01-21-22,KIBEERA,113-082-01-21
113-082-02-06-05,KENGA A,113-082-02-06
113-082-02-06-06,KENGA B,113-082-02-06
113-082-02-06-07,KIGUUNDA A,113-082-02-06
113-082-02-06-08,KIGUUNDA B,113-082-02-06
113-082-02-06-11,KISAARA,113-082-02-06
113-082-02-06-15,RUGANDO,113-082-02-06
113-082-02-06-17,KYAMAYANDA,113-082-02-06
113-082-02-06-24,KENGA CENTRAL,113-082-02-06
113-082-02-08-01,BUKUNGWE A,113-082-02-08
113-082-02-08-02,IHUURA,113-082-02-08
113-082-02-08-03,KASEBERE,113-082-02-08
113-082-02-08-08,MUTUMBA,113-082-02-08
113-082-02-08-09,NSAMBYA A,113-082-02-08
113-082-02-08-10,NSAMBYA B,113-082-02-08
113-082-02-08-12,IHUURA B,113-082-02-08
113-082-02-08-13,KASEBERE B,113-082-02-08
113-082-02-08-14,KABWORO,113-082-02-08
113-082-02-08-15,KYANYARUHUMA,113-082-02-08
113-082-02-43-01,BUSIRABO B,113-082-02-43
113-082-02-43-02,BUSIRABO A,113-082-02-43
113-082-02-43-09,KIKUMBYA A,113-082-02-43
113-082-02-43-10,KIKUMBYA B,113-082-02-43
113-082-02-43-16,RWAMABALE A,113-082-02-43
113-082-02-43-21,RWAMABALE B,113-082-02-43
113-082-02-43-22,KYAMUKUMA,113-082-02-43
113-082-02-43-23,SESE,113-082-02-43
113-082-02-50-03,KANYANGOMA A,113-082-02-50
113-082-02-50-04,KANYANGOMA B,113-082-02-50
113-082-02-50-12,MUHANGI,113-082-02-50
113-082-02-50-13,NSUGASUGI A,113-082-02-50
113-082-02-50-14,NSUGASUGI B,113-082-02-50
113-082-02-50-18,NYAKATEKE,113-082-02-50
113-082-02-50-19,KIGUUTA,113-082-02-50
113-082-02-50-20,KYEISANSA,113-082-02-50
113-082-03-13-04,KIRYANGA B,113-082-03-13
113-082-03-13-05,KIRYANGA A,113-082-03-13
113-082-03-13-06,KIRYANGA CENTRAL,113-082-03-13
113-082-03-13-09,KINYAMWENGE,113-082-03-13
113-082-03-13-10,KYABIKAMBA,113-082-03-13
113-082-03-13-11,ITEGA,113-082-03-13
113-082-03-52-01,KABASEKE,113-082-03-52
113-082-03-52-03,KASAATO A,113-082-03-52
113-082-03-52-04,KIKONDA,113-082-03-52
113-082-03-52-05,BURAMURA,113-082-03-52
113-082-03-52-06,KISEEGU,113-082-03-52
113-082-03-52-08,KASAATO B,113-082-03-52
113-082-03-68-01,KAVULE,113-082-03-68
113-082-03-68-02,KIHIGANA A,113-082-03-68
113-082-03-68-03,KIHIGANA B,113-082-03-68
113-082-03-68-04,NYAMIRINGA A,113-082-03-68
113-082-03-68-05,NYAMIRINGA B,113-082-03-68
113-082-03-69-01,KIDUUMA A,113-082-03-69
113-082-03-69-02,KASAMBYA,113-082-03-69
113-082-03-69-03,KYANSAIGA,113-082-03-69
113-082-03-69-04,KAFUKYA,113-082-03-69
113-082-03-69-05,KASOZI,113-082-03-69
113-082-03-69-06,KYEYAGALIRE,113-082-03-69
113-082-03-69-08,KIDUUMA B,113-082-03-69
113-082-03-70-01,MUNSOGA,113-082-03-70
113-082-03-70-02,NGUSE,113-082-03-70
113-082-03-70-07,NYAISAMBA A,113-082-03-70
113-082-03-70-08,NYAISAMBA B,113-082-03-70
113-082-03-70-10,KYAKATEBE,113-082-03-70
113-082-04-58-03,KANKWANZI,113-082-04-58
113-082-04-58-05,KYANAISOKE T/C,113-082-04-58
113-082-04-58-06,KITERA,113-082-04-58
113-082-04-58-07,KYANAISOKE EAST,113-082-04-58
113-082-04-65-01,NGARA A,113-082-04-65
113-082-04-65-02,NGARA B,113-082-04-65
113-082-04-65-03,KOBUSINGE,113-082-04-65
113-082-04-65-04,BIKOONOKA,113-082-04-65
113-082-04-66-01,KATATAHWA,113-082-04-66
113-082-04-66-02,NAIGANA,113-082-04-66
113-082-04-66-03,NAIGANA UPPER,113-082-04-66
113-082-04-66-04,NYAIBARUKYA,113-082-04-66
113-082-04-67-01,KACUNDWA,113-082-04-67
113-082-04-67-02,KASENYI,113-082-04-67
113-082-04-67-10,RUKANDWA,113-082-04-67
113-082-04-67-15,KISENGYA B,113-082-04-67
113-082-05-04-01,BIHANGA A,113-082-05-04
113-082-05-04-02,BIHANGA B,113-082-05-04
113-082-05-04-03,KAITEMBA,113-082-05-04
113-082-05-04-04,KIHUURUMA,113-082-05-04
113-082-05-04-05,KYANIKA,113-082-05-04
113-082-05-04-06,KIBUUZA,113-082-05-04
113-082-05-23-05,KINOGORA,113-082-05-23
113-082-05-23-09,NYANSOORO B,113-082-05-23
113-082-05-23-12,DIIDA B,113-082-05-23
113-082-06-16-01,KAHUNDE T/C,113-082-06-16
113-082-06-16-02,KIGANGAIZI,113-082-06-16
113-082-06-16-07,KISENGYA A,113-082-06-16
113-082-06-16-12,NYAKABIRA,113-082-06-16
113-082-06-16-16,KYARUTARE,113-082-06-16
113-082-06-29-05,KIJONJOMI,113-082-06-29
113-082-06-29-08,KITUKURA,113-082-06-29
113-082-06-29-13,NYAKASOZI A,113-082-06-29
113-082-06-29-14,NYAKASOZI B,113-082-06-29
113-082-06-29-17,KISISIIMA,113-082-06-29
113-082-06-30-01,KIYAMBA,113-082-06-30
113-082-06-30-02,KYANAIKUKURA A,113-082-06-30
113-082-06-30-03,KYANAIKUKURA B,113-082-06-30
113-082-06-30-04,KICHOPE A,113-082-06-30
113-082-06-30-05,KICHOPE B,113-082-06-30
113-082-06-30-06,KINYWATAABA A,113-082-06-30
113-082-06-30-07,KINYWATAABA B,113-082-06-30
113-082-06-47-02,ISUNGA A,113-082-06-47
113-082-06-47-03,ISUNGA B,113-082-06-47
113-082-06-47-04,KIKONA,113-082-06-47
113-082-06-47-08,RWERU,113-082-06-47
113-082-06-47-09,KYAKANAGI,113-082-06-47
113-082-07-17-02,KAMUROZA,113-082-07-17
113-082-07-17-03,KIHEMBA A,113-082-07-17
113-082-07-17-04,KIHEMBA T/C,113-082-07-17
113-082-07-17-05,KIGUTA,113-082-07-17
113-082-07-17-06,MUNTABU,113-082-07-17
113-082-07-17-09,RUTOMA,113-082-07-17
113-082-07-17-11,KIKUUBO,113-082-07-17
113-082-07-31-01,KYABIDOKA,113-082-07-31
113-082-07-31-02,NYAMAYEICUMU,113-082-07-31
113-082-07-31-07,KYARWAKYA,113-082-07-31
113-082-07-31-12,KINONI A,113-082-07-31
113-082-07-31-13,KINONI B,113-082-07-31
113-082-07-32-01,BUSAZA,113-082-07-32
113-082-07-32-06,KYAKATABA A,113-082-07-32
113-082-07-32-07,KYAKATABA B,113-082-07-32
113-082-07-32-08,KYAKATABA C,113-082-07-32
113-082-07-32-09,NYANSAMBYA,113-082-07-32
113-082-07-33-01,KABAPACA A,113-082-07-33
113-082-07-33-02,KABAPACA B,113-082-07-33
113-082-07-33-03,KYARUHURA,113-082-07-33
113-082-07-33-04,KIHEMBA B,113-082-07-33
113-082-07-33-05,KIKOMAGWA,113-082-07-33
113-082-07-33-06,KIHEMBA C,113-082-07-33
113-082-08-09-03,KYATABA,113-082-08-09
113-082-08-09-04,KINYARUGONJO,113-082-08-09
113-082-08-09-06,NYANIKA,113-082-08-09
113-082-08-09-07,RURONGO,113-082-08-09
113-082-08-09-08,KARUGENYI,113-082-08-09
113-082-08-09-09,MANGOMA A,113-082-08-09
113-082-08-09-10,KICWERA,113-082-08-09
113-082-08-09-11,MAGOMA EAST,113-082-08-09
113-082-08-09-16,KISANKWA,113-082-08-09
113-082-08-10-01,NTUNGAMO,113-082-08-10
113-082-08-10-02,NYAKAIBO A,113-082-08-10
113-082-08-10-03,NYAKAIBO B,113-082-08-10
113-082-08-10-04,NYAKASOZI,113-082-08-10
113-082-08-10-10,MANGOMA B,113-082-08-10
113-082-08-10-11,MANGOMA C,113-082-08-10
113-082-08-10-12,MUTUNGURU,113-082-08-10
113-082-08-10-13,MANGOMA WEST,113-082-08-10
113-082-08-34-08,NYAKARONGO EAST,113-082-08-34
113-082-08-34-09,NYAKARONGO WEST,113-082-08-34
113-082-08-34-18,MBURAMAIZI A,113-082-08-34
113-082-08-34-19,BWANGIRWA,113-082-08-34
113-082-08-34-20,MBURAMAIZI B,113-082-08-34
113-082-08-34-21,MBURAMAIZI C,113-082-08-34
113-082-09-05-01,KAGADI CENTRAL,113-082-09-05
113-082-09-05-02,KAGADI HOSPITAL,113-082-09-05
113-082-09-05-03,KAGADI NORTH,113-082-09-05
113-082-09-05-04,KAGADI TAXI PARK,113-082-09-05
113-082-09-05-05,KYENGAJU,113-082-09-05
113-082-09-05-06,NAMIRYANGO,113-082-09-05
113-082-09-05-07,KYATIKA,113-082-09-05
113-082-09-05-08,MUHUMBU,113-082-09-05
113-082-09-07-01,KIRYANE,113-082-09-07
113-082-09-07-02,KITEGWA A,113-082-09-07
113-082-09-07-07,KITONZI,113-082-09-07
113-082-09-07-08,KYARUCHAKACHA,113-082-09-07
113-082-09-07-09,MUTUNDA B,113-082-09-07
113-082-09-07-10,KIGANGAIZI,113-082-09-07
113-082-09-07-11,NYAMYEGURUMA,113-082-09-07
113-082-09-39-01,KIBANGA I,113-082-09-39
113-082-09-39-04,KIRYABYENJU,113-082-09-39
113-082-09-39-05,KYAKABUGAHYA A,113-082-09-39
113-082-09-39-06,KYAKABUGAHYA B,113-082-09-39
113-082-09-39-07,KAHUNDE,113-082-09-39
